order_id,date,product_id,category,price,quantity,base_price,discount,demand_factor,revenue
1,2023-01-01,P1,Home,358.4,85,448,20,1.34,30464.0
2,2023-01-01,P2,Home,198.9,72,221,10,1.28,14320.8
3,2023-01-01,P3,Electronics,1460.7,70,1623,10,1.11,102249.0
4,2023-01-01,P4,Clothing,515.85,57,543,5,1.1,29403.45
5,2023-01-01,P5,Electronics,1599.8,61,1684,5,1.1,97587.8
6,2023-01-01,P6,Electronics,925.3,61,974,5,1.12,56443.3
7,2023-01-01,P7,Home,274.55,62,289,5,1.18,17022.1
8,2023-01-01,P8,Home,308.7,78,343,10,1.44,24078.6
9,2023-01-01,P9,Home,114.0,77,120,5,1.48,8778.0
10,2023-01-01,P10,Clothing,418.95,61,441,5,1.14,25555.95
11,2023-01-01,P11,Home,344.85,66,363,5,1.26,22760.1
12,2023-01-01,P12,Clothing,557.65,63,587,5,1.18,35131.95
13,2023-01-01,P13,Clothing,642.2,66,676,5,1.28,42385.2
14,2023-01-01,P14,Clothing,422.1,63,469,10,1.14,26592.3
15,2023-01-01,P15,Home,280.8,93,351,20,1.44,26114.4
16,2023-01-02,P1,Electronics,669.6,60,837,20,0.81,40176.0
17,2023-01-02,P2,Electronics,1564.0,36,1564,0,0.72,56304.0
18,2023-01-02,P3,Home,86.4,45,108,20,0.79,3888.0
19,2023-01-02,P4,Home,190.4,58,238,20,0.92,11043.2
20,2023-01-02,P5,Electronics,790.2,57,878,10,0.9,45041.4
21,2023-01-02,P6,Home,285.0,37,300,5,0.73,10545.0
22,2023-01-02,P7,Home,144.9,48,161,10,0.88,6955.2
23,2023-01-02,P8,Clothing,746.0,49,746,0,0.99,36554.0
24,2023-01-02,P9,Home,320.4,50,356,10,0.93,16020.0
25,2023-01-02,P10,Home,343.8,40,382,10,0.73,13752.0
26,2023-01-02,P11,Electronics,1090.4,63,1363,20,0.87,68695.2
27,2023-01-02,P12,Clothing,684.0,43,684,0,0.86,29412.0
28,2023-01-02,P13,Electronics,1403.1,44,1559,10,0.79,61736.4
29,2023-01-02,P14,Clothing,738.15,47,777,5,0.89,34693.05
30,2023-01-02,P15,Clothing,181.6,68,227,20,0.97,12348.8
31,2023-01-03,P1,Home,181.6,46,227,20,0.81,8353.6
32,2023-01-03,P2,Clothing,381.6,48,424,10,0.83,18316.8
33,2023-01-03,P3,Electronics,1425.6,74,1782,20,0.86,105494.4
34,2023-01-03,P4,Clothing,339.2,56,424,20,0.77,18995.2
35,2023-01-03,P5,Home,378.4,57,473,20,0.91,21568.8
36,2023-01-03,P6,Electronics,893.95,48,941,5,0.91,42909.6
37,2023-01-03,P7,Home,169.6,45,212,20,0.71,7632.0
38,2023-01-03,P8,Electronics,475.95,39,501,5,0.71,18562.05
39,2023-01-03,P9,Electronics,839.8,48,884,5,0.86,40310.4
40,2023-01-03,P10,Clothing,553.5,52,615,10,0.93,28782.0
41,2023-01-03,P11,Home,354.0,44,354,0,0.89,15576.0
42,2023-01-03,P12,Clothing,710.0,37,710,0,0.75,26270.0
43,2023-01-03,P13,Home,382.5,47,425,10,0.88,17977.5
44,2023-01-03,P14,Home,400.5,43,445,10,0.8,17221.5
45,2023-01-03,P15,Home,325.6,46,407,20,0.82,14977.6
46,2023-01-04,P1,Clothing,604.8,56,672,10,0.96,33868.8
47,2023-01-04,P2,Home,343.9,51,362,5,0.99,17538.9
48,2023-01-04,P3,Electronics,475.95,51,501,5,0.97,24273.45
49,2023-01-04,P4,Electronics,1683.0,39,1683,0,0.78,65637.0
50,2023-01-04,P5,Home,322.4,55,403,20,0.97,17732.0
51,2023-01-04,P6,Electronics,901.6,79,1127,20,0.94,71226.4
52,2023-01-04,P7,Clothing,426.0,44,426,0,0.9,18744.0
53,2023-01-04,P8,Electronics,1342.35,47,1413,5,0.85,63090.45
54,2023-01-04,P9,Home,245.6,51,307,20,0.91,12525.6
55,2023-01-04,P10,Electronics,717.6,64,897,20,0.81,45926.4
56,2023-01-04,P11,Home,294.0,43,294,0,0.86,12642.0
57,2023-01-04,P12,Home,446.5,40,470,5,0.77,17860.0
58,2023-01-04,P13,Clothing,407.55,52,429,5,0.97,21192.6
59,2023-01-04,P14,Home,325.0,43,325,0,0.87,13975.0
60,2023-01-04,P15,Electronics,761.6,64,952,20,0.78,48742.4
61,2023-01-05,P1,Home,291.0,49,291,0,1.0,14259.0
62,2023-01-05,P2,Clothing,642.2,43,676,5,0.81,27614.6
63,2023-01-05,P3,Electronics,1560.0,43,1560,0,0.87,67080.0
64,2023-01-05,P4,Home,158.4,44,198,20,0.79,6969.6
65,2023-01-05,P5,Electronics,1141.6,57,1427,20,0.85,65071.2
66,2023-01-05,P6,Clothing,612.0,46,765,20,0.72,28152.0
